company_name,security_code,market_segment,approval_date,listing_date,status,observed_on,source_url,outline_url
"LiNKX,Inc.",584A,Growth,2026-05-21,2026-06-23,approved_pending_listing,2026-05-24,https://www.jpx.co.jp/english/listing/stocks/new/index.html,https://www.jpx.co.jp/english/listing/stocks/new/vk0khi000001kepa-att/06LiNKX-OutlineEN.pdf
GO Inc.,581A,Growth,2026-05-14,2026-06-16,approved_pending_listing,2026-05-24,https://www.jpx.co.jp/english/listing/stocks/new/index.html,https://www.jpx.co.jp/english/listing/stocks/new/vk0khi000001fspr-att/06GO-OutlineEN.pdf
