company_name,document_id,status,closing_date,modified_date,prospectus_url,observed_on,source_url
DBXT IBOXX SINGAPORE ETF 5,2992,prospectus_published,-,05/18/2026 06:47:21 AM,https://links.sgx.com/1.0.0/ipo-prospectus/2992/353573be04905333b008f9aba78d36f8f54d3895f384f1d7eccbca98e9f6e73b,2026-05-23,https://www.sgx.com/securities/ipo-prospectus
KIN GLOBAL LIMITED,3443,prospectus_published,2026-04-21 12:00 SGT,04/15/2026 01:55:57 AM,https://links.sgx.com/1.0.0/ipo-prospectus/3443/de88b56ecb4c18aa8d063f13232eaaf0d56644a847837840d17eded480a72847,2026-05-23,https://www.sgx.com/securities/ipo-prospectus
