company_name,symbols,listing_date,status,observed_on,source_url,detail_url
Predictive Discovery Limited,PDI,2026-04-20,listed,2026-05-23,https://www.tsx.com/en/news/new-company-listings,https://www.tsx.com/en/news/new-company-listings?id=2345
First Trust Nasdaq Clean Edge Smart Grid Infrastructure ETF,SGRD,2026-04-17,listed,2026-05-23,https://www.tsx.com/en/news/new-company-listings,https://www.tsx.com/en/news/new-company-listings?id=2344
Contango Silver & Gold Inc.,CTGO,2026-04-13,listed,2026-05-23,https://www.tsx.com/en/news/new-company-listings,https://www.tsx.com/en/news/new-company-listings?id=2338
