company_name,market,primary_offer,secondary_offer,currency,price_range,expected_first_trading,instrument_type,observed_on,source_url
Coastal Africa Group Limited,AIM,TBC,TBC,-,-,Early June 2026,Equity,2026-05-24,https://www.londonstockexchange.com/live-markets/new-issues
Lansdowne Oil and Gas plc,AIM,GBP 2m,-,-,-,27 May 2026,Equity,2026-05-24,https://www.londonstockexchange.com/live-markets/new-issues
Vista Parcs Group Plc,AIM,GBP TBC million,-,-,-,Late June 2026,Equity,2026-05-24,https://www.londonstockexchange.com/live-markets/new-issues
